ACC_X;ACC_Y;ACC_Z;Timestamps;YYYY-MO-DD;HH-MI-SS_SSS
1.1624;-0.3484;10.4639;7243;03/27/21;13:46:31:312
1.142;0.018;9.6546;7264;03/27/21;13:46:31:333
0.9852;0.3531;8.7257;7283;03/27/21;13:46:31:352
0.7673;0.5746;8.2384;7303;03/27/21;13:46:31:372
0.6895;0.7398;7.9571;7323;03/27/21;13:46:31:392
0.5231;1.2175;8.248;7344;03/27/21;13:46:31:413
0.5231;1.2378;8.3486;7363;03/27/21;13:46:31:432
0.6249;1.1851;8.6874;7384;03/27/21;13:46:31:453
0.7925;1.0343;8.9747;7403;03/27/21;13:46:31:472
0.8272;0.9409;9.3326;7423;03/27/21;13:46:31:492
0.7003;0.9541;9.4858;7443;03/27/21;13:46:31:512
0.5986;1.1815;9.5828;7463;03/27/21;13:46:31:532
0.6369;1.3479;9.4894;7483;03/27/21;13:46:31:552
0.6919;1.4234;9.3721;7503;03/27/21;13:46:31:572
0.7195;1.4629;9.2931;7523;03/27/21;13:46:31:592
0.7913;1.5862;9.3948;7543;03/27/21;13:46:31:612
0.8428;1.6807;9.3865;7563;03/27/21;13:46:31:632
1.0558;1.6831;9.4068;7583;03/27/21;13:46:31:652
1.1672;1.5287;9.6534;7603;03/27/21;13:46:31:672
1.1672;1.5287;9.7959;7623;03/27/21;13:46:31:692
1.2031;1.3156;10.2807;7643;03/27/21;13:46:31:712
1.221;1.2629;10.7691;7663;03/27/21;13:46:31:732
1.166;2.059;10.0353;7683;03/27/21;13:46:31:752
1.0726;2.308;9.6833;7704;03/27/21;13:46:31:773
0.6847;1.998;10.2604;7724;03/27/21;13:46:31:793
-0.5076;0.425;12.3972;7743;03/27/21;13:46:31:812
-0.4465;-1.093;14.03;7763;03/27/21;13:46:31:832
0.1209;-0.9756;11.989;7783;03/27/21;13:46:31:852
0.5052;-0.6381;9.572;7803;03/27/21;13:46:31:872
0.759;0.51;7.8542;7823;03/27/21;13:46:31:892
0.7254;1.1277;6.9635;7843;03/27/21;13:46:31:912
0.5064;1.2091;6.9659;7863;03/27/21;13:46:31:932
0.2885;1.1744;8.2564;7883;03/27/21;13:46:31:952
-0.1305;0.1329;10.1203;7903;03/27/21;13:46:31:972
-0.1113;-0.243;10.6949;7923;03/27/21;13:46:31:992
-0.0012;-0.4525;10.9846;7943;03/27/21;13:46:32:012
0.3089;-0.0467;9.3829;7963;03/27/21;13:46:32:032
0.504;0.4848;8.8178;7982;03/27/21;13:46:32:051
0.589;0.7745;8.1618;8003;03/27/21;13:46:32:072
0.5638;0.7973;8.3103;8023;03/27/21;13:46:32:092
0.4166;0.8787;8.6694;8043;03/27/21;13:46:32:112
0.3807;1.0211;8.8741;8063;03/27/21;13:46:32:132
0.4202;1.2414;8.9771;8083;03/27/21;13:46:32:152
0.407;1.2306;9.0956;8103;03/27/21;13:46:32:172
0.4178;1.2103;9.1482;8123;03/27/21;13:46:32:192
0.3831;1.1205;9.335;8143;03/27/21;13:46:32:212
0.2598;1.154;9.5253;8163;03/27/21;13:46:32:232
0.2765;1.2246;9.4619;8183;03/27/21;13:46:32:252
0.3328;1.3324;9.3362;8202;03/27/21;13:46:32:271
0.3531;1.3539;9.2775;8223;03/27/21;13:46:32:292
0.3412;1.5;9.2105;8243;03/27/21;13:46:32:312
0.2945;1.5395;8.8897;8263;03/27/21;13:46:32:332
0.2861;1.6843;9.2225;8283;03/27/21;13:46:32:352
0.2502;1.7166;9.2871;8303;03/27/21;13:46:32:372
0.1879;1.6688;9.5421;8323;03/27/21;13:46:32:392
0.1006;1.3276;10.2508;8343;03/27/21;13:46:32:412
0.0096;1.1588;10.5716;8363;03/27/21;13:46:32:432
0.1173;1.4102;10.3681;8382;03/27/21;13:46:32:451
0.8655;2.3463;9.8509;8403;03/27/21;13:46:32:472
1.0116;1.913;10.4315;8423;03/27/21;13:46:32:492
1.1061;1.172;11.2755;8443;03/27/21;13:46:32:512
0.7733;-1.0786;14.0348;8463;03/27/21;13:46:32:532
0.7254;-1.1241;13.5009;8483;03/27/21;13:46:32:552
0.6596;-0.516;11.6657;8503;03/27/21;13:46:32:572
0.8428;-0.0383;10.009;8523;03/27/21;13:46:32:592
0.9816;0.1437;9.3901;8544;03/27/21;13:46:32:613
1.3048;0.9673;7.9212;8563;03/27/21;13:46:32:632
1.6676;1.4964;7.3706;8582;03/27/21;13:46:32:651
2.0087;1.5419;7.4268;8603;03/27/21;13:46:32:672
2.1608;1.2809;7.6842;8623;03/27/21;13:46:32:692
1.9788;0.6692;8.6;8643;03/27/21;13:46:32:712
